time,power,temp,humidity,light,CO2,dust
"2015-08-01 00:00:28",0,32,40,0,973,27.8
"2015-08-01 00:00:58",0,32,40,0,973,27.09
"2015-08-01 00:01:28",0,32,40,0,973,34.5
"2015-08-01 00:01:58",0,32,40,0,973,28.43
"2015-08-01 00:02:28",0,32,40,0,973,27.58
"2015-08-01 00:02:59",0,32,40,0,971,29.35
"2015-08-01 00:03:29",0,32,40,0,971,26.46
"2015-08-01 00:03:59",0,32,40,0,971,23.35
"2015-08-01 00:04:29",0,32,40,0,973,11.67
"2015-08-01 00:04:59",0,32,42,0,975,9.06
"2015-08-01 00:05:29",0,19,43,0,973,11.28
"2015-08-01 00:05:59",0,20,44,0,973,22.82
"2015-08-01 00:06:29",0,5,40,0,973,23.39
"2015-08-01 00:06:59",0,32,44,0,975,34.68
"2015-08-01 00:07:30",0,32,40,0,975,32.91
"2015-08-01 00:08:00",0,32,40,0,975,25.68
"2015-08-01 00:08:30",0,32,40,0,978,23.63
"2015-08-01 00:09:00",0,32,40,0,975,37.32
"2015-08-01 00:09:30",0,32,40,0,978,42.26
"2015-08-01 00:10:00",0,32,40,0,978,26.07
"2015-08-01 00:10:30",0,32,41,0,978,42.3